date,asset,sector,weight,asset_return_1d
2026-04-06,A11,hlth,0.16666666666666666,0.014770738976436795
2026-04-07,A00,tech,0.0,-0.0425361913051644
2026-04-07,A01,fin,0.16666666666666666,0.0048714091303664496
2026-04-07,A02,indu,-0.16666666666666666,-0.021292788134031373
2026-04-07,A03,hlth,-0.16666666666666666,-0.027955169284295867
2026-04-07,A04,tech,0.0,-0.01498974015981884
2026-04-07,A05,fin,-0.16666666666666666,-0.0082608893054546
2026-04-07,A06,indu,0.0,0.018297563380239978
2026-04-07,A07,hlth,0.0,-0.02718162594888933
2026-04-07,A08,tech,0.0,0.0019629280470840832
2026-04-07,A09,fin,0.16666666666666666,-0.004053461221416702
2026-04-07,A10,indu,0.0,-0.006191122259632234
2026-04-07,A11,hlth,0.16666666666666666,0.022630911679199513
2026-04-08,A00,tech,0.0,0.031066509775441495
2026-04-08,A01,fin,0.0,-0.02011419178557498
2026-04-08,A02,indu,-0.16666666666666666,-0.01193647048426872
2026-04-08,A03,hlth,-0.16666666666666666,0.009678570539670918
2026-04-08,A04,tech,0.16666666666666666,0.017212309937445564
2026-04-08,A05,fin,-0.16666666666666666,-0.012672811749698108
2026-04-08,A06,indu,0.0,-0.007063601604139382
2026-04-08,A07,hlth,0.16666666666666666,-0.020150262054114382
2026-04-08,A08,tech,0.16666666666666666,0.006856793797468322
2026-04-08,A09,fin,0.0,-0.010014016315480469
2026-04-08,A10,indu,0.0,0.0031704019653729966
2026-04-08,A11,hlth,0.0,-0.009740322172618282
2026-04-09,A00,tech,0.0,0.03337831954006948
2026-04-09,A01,fin,0.0,-0.031091181170586596
2026-04-09,A02,indu,0.0,0.016268650761136223
2026-04-09,A03,hlth,0.0,-0.005960254414048004
2026-04-09,A04,tech,0.16666666666666666,0.004659480975395682
2026-04-09,A05,fin,-0.16666666666666666,-0.03132460397780417
2026-04-09,A06,indu,0.0,-0.00763652450515627
2026-04-09,A07,hlth,0.0,0.026706941579468957
2026-04-09,A08,tech,0.16666666666666666,0.012837080798502539
2026-04-09,A09,fin,-0.16666666666666666,0.033158573782913724
2026-04-09,A10,indu,-0.16666666666666666,0.01652135064963954
2026-04-09,A11,hlth,0.16666666666666666,0.010093715513447963
2026-04-10,A00,tech,-0.16666666666666666,-0.03431644909866517
2026-04-10,A01,fin,0.0,0.030767018847275153
2026-04-10,A02,indu,0.16666666666666666,0.011988380398439953
2026-04-10,A03,hlth,0.16666666666666666,0.019366725605765838
2026-04-10,A04,tech,-0.16666666666666666,-0.02058403126482829
2026-04-10,A05,fin,0.0,0.01749274071544525
2026-04-10,A06,indu,0.0,0.021657565412711077
2026-04-10,A07,hlth,0.0,0.006313121544234139
2026-04-10,A08,tech,0.16666666666666666,0.011152856580578747
2026-04-10,A09,fin,-0.16666666666666666,-0.0028460883215844545
2026-04-10,A10,indu,0.0,-0.019631318995552056
2026-04-10,A11,hlth,0.0,-0.0005869483136336402
2026-04-13,A00,tech,-0.16666666666666666,0.00879754995904166
2026-04-13,A01,fin,0.0,0.0014076823221996731
2026-04-13,A02,indu,0.0,0.01235984053609731
2026-04-13,A03,hlth,0.16666666666666666,-0.011996713886146563
2026-04-13,A04,tech,0.0,-0.0024871315593149555
2026-04-13,A05,fin,-0.16666666666666666,-0.001715541602430321
2026-04-13,A06,indu,-0.16666666666666666,0.007170155761817801
2026-04-13,A07,hlth,0.0,-0.007657409102929914
2026-04-13,A08,tech,0.0,0.00853624098008891
2026-04-13,A09,fin,0.16666666666666666,-0.0034792327514411338
2026-04-13,A10,indu,0.16666666666666666,0.0004569711583224732
2026-04-13,A11,hlth,0.0,0.01714334656871619
2026-04-14,A00,tech,0.0,-0.007380069620038493
2026-04-14,A01,fin,-0.16666666666666666,-0.03686077964030476
2026-04-14,A02,indu,0.16666666666666666,0.025057636297713598
2026-04-14,A03,hlth,0.0,-0.009049766293180017
2026-04-14,A04,tech,0.0,0.02015624793805332
2026-04-14,A05,fin,-0.16666666666666666,0.003388532618490648
2026-04-14,A06,indu,-0.16666666666666666,-0.005239883710817121
2026-04-14,A07,hlth,0.16666666666666666,0.008687079643705572
2026-04-14,A08,tech,0.0,0.03826327383878037
2026-04-14,A09,fin,0.0,0.04285425859020499
2026-04-14,A10,indu,0.0,0.0028353101183709486
2026-04-14,A11,hlth,0.16666666666666666,0.008486458488454175
2026-04-15,A00,tech,0.0,-0.004832655700612737
2026-04-15,A01,fin,0.16666666666666666,0.014812169612598612
2026-04-15,A02,indu,0.0,-0.0058073803982354195
2026-04-15,A03,hlth,0.0,0.021034050890622172
2026-04-15,A04,tech,0.0,-0.03685525446187324
2026-04-15,A05,fin,-0.16666666666666666,-0.007393777687029743
2026-04-15,A06,indu,-0.16666666666666666,-0.042934169489381634
2026-04-15,A07,hlth,0.0,-0.028180011168713888
2026-04-15,A08,tech,-0.16666666666666666,0.023871095839535117
2026-04-15,A09,fin,0.16666666666666666,0.020566040584687438
2026-04-15,A10,indu,0.16666666666666666,-0.010048456647912167
2026-04-15,A11,hlth,0.0,-0.028583943491869022
2026-04-16,A00,tech,0.0,-0.03269644773139126
2026-04-16,A01,fin,0.16666666666666666,-0.010265717240599433
2026-04-16,A02,indu,0.0,0.003506236112402178
2026-04-16,A03,hlth,-0.16666666666666666,-0.007349020892694931
2026-04-16,A04,tech,0.0,-0.006861808211073716
2026-04-16,A05,fin,0.0,-0.001374361625028661
2026-04-16,A06,indu,-0.16666666666666666,-0.0021952714763231887
2026-04-16,A07,hlth,0.16666666666666666,-0.01762083722825767
2026-04-16,A08,tech,0.0,0.011981907547510042
2026-04-16,A09,fin,0.16666666666666666,0.01784457005064393
2026-04-16,A10,indu,-0.16666666666666666,-0.0018762824664798668
2026-04-16,A11,hlth,0.0,0.007984405754608589
2026-04-17,A00,tech,0.16666666666666666,0.010053711766247291
2026-04-17,A01,fin,0.16666666666666666,0.037214122910230144
2026-04-17,A02,indu,0.0,-0.025457555588009922
2026-04-17,A03,hlth,0.0,0.006434539797495132
2026-04-17,A04,tech,-0.16666666666666666,0.02678628915306268
2026-04-17,A05,fin,-0.16666666666666666,-0.037660573604646676
2026-04-17,A06,indu,0.0,-0.02679649981752516
2026-04-17,A07,hlth,0.0,-0.012760664214924203
2026-04-17,A08,tech,0.0,-0.0075541823265855845
2026-04-17,A09,fin,0.16666666666666666,0.02424121187806487
2026-04-17,A10,indu,-0.16666666666666666,0.00012673551869955314
2026-04-17,A11,hlth,0.0,-0.03884909480918334
2026-04-20,A00,tech,0.0,-0.0019139316468454236
2026-04-20,A01,fin,0.0,-0.024401570227095864
2026-04-20,A02,indu,0.0,0.00994466956066471
2026-04-20,A03,hlth,0.16666666666666666,0.015940718064935088
2026-04-20,A04,tech,-0.16666666666666666,-0.03405045660643586
2026-04-20,A05,fin,-0.16666666666666666,0.004332813310179796
2026-04-20,A06,indu,0.16666666666666666,0.0474974476189654
2026-04-20,A07,hlth,0.16666666666666666,0.01363651845916921
2026-04-20,A08,tech,0.0,-0.008367580303167449
2026-04-20,A09,fin,-0.16666666666666666,-0.010587416450631168
2026-04-20,A10,indu,0.0,0.01106319943458745
2026-04-20,A11,hlth,0.0,-0.03575832390950704
2026-04-21,A00,tech,-0.16666666666666666,-0.011563648755025184
2026-04-21,A01,fin,-0.16666666666666666,-0.014849384262472568
2026-04-21,A02,indu,0.16666666666666666,0.01915926600883713
2026-04-21,A03,hlth,0.0,0.03136489129617636
2026-04-21,A04,tech,0.16666666666666666,0.00035359926775027986
2026-04-21,A05,fin,0.0,-0.006814720160962075
2026-04-21,A06,indu,0.0,0.007832357042444043
2026-04-21,A07,hlth,0.0,-0.005582941720692289
2026-04-21,A08,tech,0.0,0.022308176531600964
2026-04-21,A09,fin,0.0,-0.04253520500738832
2026-04-21,A10,indu,0.16666666666666666,-0.011527200904077113
2026-04-21,A11,hlth,-0.16666666666666666,-0.017733618353778055
2026-04-22,A00,tech,0.0,0.010590060629589202
2026-04-22,A01,fin,0.16666666666666666,0.0007586556108281676
2026-04-22,A02,indu,-0.16666666666666666,-0.0035600768523951516
2026-04-22,A03,hlth,-0.16666666666666666,-0.002824173061511122
2026-04-22,A04,tech,0.0,0.011863802014117438
2026-04-22,A05,fin,0.16666666666666666,0.021984881105770727
2026-04-22,A06,indu,0.0,-0.03126709195615821
2026-04-22,A07,hlth,0.16666666666666666,-0.041876102144972206
2026-04-22,A08,tech,-0.16666666666666666,0.01547426427652522
2026-04-22,A09,fin,0.0,0.01927635836415663
2026-04-22,A10,indu,0.0,-0.018621205523375907
2026-04-22,A11,hlth,0.0,-0.03696361080717079
2026-04-23,A00,tech,-0.16666666666666666,-0.00614330606689202
2026-04-23,A01,fin,0.16666666666666666,0.005132675200067127
2026-04-23,A02,indu,0.16666666666666666,0.04286720469643562
2026-04-23,A03,hlth,0.16666666666666666,0.02332114897145064
2026-04-23,A04,tech,0.0,0.001249762449252819
2026-04-23,A05,fin,0.0,0.010378246679832287
2026-04-23,A06,indu,0.0,0.0009324602844912634
2026-04-23,A07,hlth,0.0,-0.0032470905883198366
2026-04-23,A08,tech,-0.16666666666666666,-0.02602242942961367
2026-04-23,A09,fin,0.0,-0.001433072334143225
2026-04-23,A10,indu,0.0,-0.014680421419352599
2026-04-23,A11,hlth,-0.16666666666666666,-0.030216919245800788
2026-04-24,A00,tech,0.0,0.022675826258053214
2026-04-24,A01,fin,0.16666666666666666,-0.05248027110614535
2026-04-24,A02,indu,0.16666666666666666,0.009011493580024963
2026-04-24,A03,hlth,0.0,0.02667104803170517
2026-04-24,A04,tech,0.0,-0.024480579793295928
2026-04-24,A05,fin,0.16666666666666666,-0.001845022476132053
2026-04-24,A06,indu,-0.16666666666666666,-0.019706156395509565
2026-04-24,A07,hlth,-0.16666666666666666,-0.0263535387174327
2026-04-24,A08,tech,-0.16666666666666666,-0.013972620713430847
2026-04-24,A09,fin,0.0,0.02866614545999677
2026-04-24,A10,indu,0.0,0.036871402621881204
2026-04-24,A11,hlth,0.0,-0.0071892279225034385
2026-04-27,A00,tech,0.0,-0.003020410516875348
2026-04-27,A01,fin,0.16666666666666666,-0.0010952189250551842
2026-04-27,A02,indu,-0.16666666666666666,-0.007437102936976298
2026-04-27,A03,hlth,0.0,-0.0021874241256945957
2026-04-27,A04,tech,0.0,0.002171700250471612
2026-04-27,A05,fin,0.0,0.018766643115608637
2026-04-27,A06,indu,0.16666666666666666,-0.021106640879762207
2026-04-27,A07,hlth,0.0,-0.027471003656510073
2026-04-27,A08,tech,0.16666666666666666,-0.01896934644792274
2026-04-27,A09,fin,0.0,0.006030342816712937
2026-04-27,A10,indu,-0.16666666666666666,0.017331162559681267
2026-04-27,A11,hlth,-0.16666666666666666,-0.016461154526378335
2026-04-28,A00,tech,0.0,-0.0011008284843941484
2026-04-28,A01,fin,-0.16666666666666666,0.035154826803063956
2026-04-28,A02,indu,0.0,0.0005552246517780369
2026-04-28,A03,hlth,0.16666666666666666,0.012905877375888814
2026-04-28,A04,tech,0.16666666666666666,0.00109982042776846
2026-04-28,A05,fin,0.0,0.0036319193876395623
2026-04-28,A06,indu,0.16666666666666666,0.005574048457064224
2026-04-28,A07,hlth,-0.16666666666666666,0.0014432876075669591
2026-04-28,A08,tech,0.0,0.022034524516429687
2026-04-28,A09,fin,-0.16666666666666666,0.029479858926772885
2026-04-28,A10,indu,0.0,0.006669305082692905
2026-04-28,A11,hlth,0.0,0.009505140843925095
